# S12 Cl2 Cl3 s16 R27 Ct180 align23S ALV
# #centered=True, unitless=False, normalized=True
1.047261194578880250e+01 1.121599497288732209e+03 5.257268790629914292e+02 1.416642099025936659e+03 1.011334214998422354e+00 2.849217630479716945e+02 4.134919111558871818e-01 1.014072305661416901e-01
1.208857518416667443e+00 7.514129678326673911e+02 2.738961827402420113e+02 3.679650293199866269e+02 1.379687047096022356e-01 4.059261920845548275e+02 1.401893650978409400e-01 4.311929746555718396e-02
1.000000000000000000e+00 7.994561345750189618e-01 1.359278397396856408e-01 8.202738921116163873e-01 3.433015116268706146e-01 6.221302146294706015e-01 -6.392007287864412413e-02 1.268810603170470071e-02
7.994561345750189618e-01 1.000000000000000000e+00 -4.522942760913944288e-02 7.396822287374674731e-01 4.963248030437593106e-01 7.294454621816900408e-01 -3.681297234716529587e-02 2.529798814197743717e-03
1.359278397396856408e-01 -4.522942760913944288e-02 1.000000000000000000e+00 2.837921237978839883e-01 -3.548188384744108137e-01 -4.023306253016078471e-01 3.522185770322861648e-02 6.834701722523789380e-02
8.202738921116164983e-01 7.396822287374673621e-01 2.837921237978839883e-01 9.999999999999998890e-01 2.994718902639312286e-01 5.487057321038938396e-01 -5.440506011229356148e-02 9.360818192483004452e-02
3.433015116268706701e-01 4.963248030437593106e-01 -3.548188384744108137e-01 2.994718902639312286e-01 1.000000000000000000e+00 7.408648717710922815e-01 -4.219309768645728570e-02 1.299122671408406426e-02
6.221302146294704905e-01 7.294454621816899298e-01 -4.023306253016078471e-01 5.487057321038938396e-01 7.408648717710921705e-01 1.000000000000000000e+00 -9.338301854074988750e-02 8.017818870499730799e-03
-6.392007287864412413e-02 -3.681297234716529587e-02 3.522185770322861648e-02 -5.440506011229356148e-02 -4.219309768645728570e-02 -9.338301854074988750e-02 9.999999999999997780e-01 -5.041793407858954218e-02
1.268810603170470071e-02 2.529798814197743717e-03 6.834701722523789380e-02 9.360818192483005840e-02 1.299122671408406426e-02 8.017818870499730799e-03 -5.041793407858954218e-02 1.000000000000000000e+00
