# S12 Cl2 Cl3 s16 R27 Ct180 align23S ALV
# #centered=True, unitless=False, normalized=True
1.048221345862324405e+01 1.107521597671973495e+03 5.446940221122227967e+02 1.424909773486650238e+03 1.004418592528229626e+00 2.699886251234826773e+02 4.074322408553001096e-01 1.054516298877401226e-01
1.211266274132939413e+00 7.163956163498597789e+02 2.933246611124437209e+02 3.675322679501678635e+02 1.312844817497712258e-01 4.059989991601132147e+02 1.374900228046199435e-01 4.585934734299662585e-02
1.000000000000000000e+00 7.892198602099342875e-01 2.080957231386066086e-01 8.003540018831605263e-01 3.395121629792691720e-01 5.921213620741494488e-01 -2.544369051470788193e-02 7.868207770879215301e-02
7.892198602099342875e-01 9.999999999999998890e-01 2.623797708564126752e-02 7.144892907486324329e-01 4.374983997139518799e-01 6.789206060924666275e-01 -4.524712635356162305e-02 8.191938688929180368e-02
2.080957231386066086e-01 2.623797708564126405e-02 1.000000000000000000e+00 3.661843562382857686e-01 -3.633273721948087065e-01 -3.591904320549788587e-01 9.377546686872765755e-03 7.947621302266159871e-02
8.003540018831605263e-01 7.144892907486323219e-01 3.661843562382857131e-01 1.000000000000000000e+00 2.547763628066916364e-01 5.091379052062396937e-01 -4.376278368270150598e-02 1.289435963170609822e-01
3.395121629792691720e-01 4.374983997139519354e-01 -3.633273721948086510e-01 2.547763628066916919e-01 1.000000000000000000e+00 7.513594217807706421e-01 -1.107654773684639202e-02 -1.439972272504907395e-03
5.921213620741494488e-01 6.789206060924667385e-01 -3.591904320549788587e-01 5.091379052062396937e-01 7.513594217807707532e-01 9.999999999999998890e-01 -4.316250712154021812e-02 3.559426005309482277e-02
-2.544369051470788193e-02 -4.524712635356162305e-02 9.377546686872767490e-03 -4.376278368270150598e-02 -1.107654773684639202e-02 -4.316250712154021812e-02 1.000000000000000000e+00 2.238426187988438662e-02
7.868207770879213914e-02 8.191938688929181756e-02 7.947621302266158483e-02 1.289435963170609822e-01 -1.439972272504907395e-03 3.559426005309481583e-02 2.238426187988438662e-02 1.000000000000000000e+00
