# S12 Cl2 Cl3 s16 R27 Ct180 align23S ALV
# #centered=True, unitless=False, normalized=True
1.048557915180302835e+01 1.125092297155636516e+03 5.304719390286905991e+02 1.408252307882085915e+03 1.011199428987242355e+00 2.808891669877976369e+02 4.062688227731005575e-01 1.055365856933905555e-01
1.182447737962927903e+00 7.052388605170698384e+02 2.862329078634658117e+02 3.580549371537829302e+02 1.331713249684629008e-01 3.844168234314217898e+02 1.438570121512073030e-01 4.708314397932711337e-02
1.000000000000000000e+00 7.885211858044578470e-01 1.817579358518964516e-01 8.173132250627987982e-01 2.965007043221986049e-01 6.051887500479575799e-01 -4.743143167682449535e-02 2.016041407875981961e-02
7.885211858044579580e-01 9.999999999999998890e-01 -1.587427961467375442e-02 7.060334801699008622e-01 4.691610048921350251e-01 7.047904400324220830e-01 -1.468679214881900459e-02 2.336422765675272642e-02
1.817579358518964516e-01 -1.587427961467375442e-02 1.000000000000000000e+00 3.521229972371531236e-01 -3.879497388258704715e-01 -3.661083977064613637e-01 -5.474887872429756025e-02 4.381760340533706610e-02
8.173132250627986872e-01 7.060334801699008622e-01 3.521229972371531236e-01 1.000000000000000000e+00 2.276315049852516426e-01 4.963346671091604656e-01 -6.557913268125538375e-02 7.248336292634383060e-02
2.965007043221986049e-01 4.691610048921350251e-01 -3.879497388258704715e-01 2.276315049852516426e-01 9.999999999999997780e-01 7.253866302930789267e-01 1.225674787344637265e-02 2.166600056342690359e-02
6.051887500479575799e-01 7.047904400324220830e-01 -3.661083977064613637e-01 4.963346671091604101e-01 7.253866302930789267e-01 1.000000000000000000e+00 -2.634617998089999399e-02 -5.847124114368645181e-03
-4.743143167682448841e-02 -1.468679214881900633e-02 -5.474887872429756025e-02 -6.557913268125538375e-02 1.225674787344637265e-02 -2.634617998089999746e-02 1.000000000000000000e+00 1.684128999575311425e-02
2.016041407875981961e-02 2.336422765675272989e-02 4.381760340533706610e-02 7.248336292634383060e-02 2.166600056342690706e-02 -5.847124114368645181e-03 1.684128999575311772e-02 1.000000000000000000e+00
