# S12 Cl2 Cl3 s16 R27 Ct180 align23S ALV
# #centered=True, unitless=False, normalized=True
1.057165013951068921e+01 1.168306254537083532e+03 5.326297166000233574e+02 1.441639290768425099e+03 1.016791655671575478e+00 3.164303197069276621e+02 4.171740049290135754e-01 1.031972156710272565e-01
1.184988816164949332e+00 7.185920556913029031e+02 2.829491222203670873e+02 3.668506881249390403e+02 1.307659511458857393e-01 3.986848181215190721e+02 1.381933010416429020e-01 4.446407602675409715e-02
9.999999999999997780e-01 7.962301886456307765e-01 1.975159128203657077e-01 8.061927390020114936e-01 3.051704795035801721e-01 6.048745967539426172e-01 3.116063594528863286e-03 2.982789941284771582e-02
7.962301886456307765e-01 1.000000000000000000e+00 5.773199167687209643e-02 7.246144780658634321e-01 4.382622716785971595e-01 6.790993588463094532e-01 3.770203133961703892e-03 2.687780513389983333e-02
1.975159128203657077e-01 5.773199167687208949e-02 1.000000000000000000e+00 3.569566267593364817e-01 -3.426523129135856105e-01 -3.356520648357212422e-01 -2.517336753446552250e-02 7.122282269429559831e-02
8.061927390020114936e-01 7.246144780658634321e-01 3.569566267593365372e-01 1.000000000000000000e+00 2.093145123439909550e-01 5.093506851167201033e-01 5.120508722559994653e-03 7.046534003105292543e-02
3.051704795035801721e-01 4.382622716785971595e-01 -3.426523129135856105e-01 2.093145123439909550e-01 1.000000000000000000e+00 6.953790831756937463e-01 1.019859651172803049e-02 -2.931433232552439327e-03
6.048745967539426172e-01 6.790993588463093422e-01 -3.356520648357212422e-01 5.093506851167201033e-01 6.953790831756938573e-01 1.000000000000000000e+00 3.606849641262076939e-02 -1.861494975608053368e-02
3.116063594528863286e-03 3.770203133961703892e-03 -2.517336753446552250e-02 5.120508722559994653e-03 1.019859651172803049e-02 3.606849641262076939e-02 1.000000000000000000e+00 3.651823961493929488e-02
2.982789941284771582e-02 2.687780513389983333e-02 7.122282269429559831e-02 7.046534003105292543e-02 -2.931433232552439327e-03 -1.861494975608053368e-02 3.651823961493930182e-02 1.000000000000000000e+00
